Word,Topic,Probability
花,2,0.018788377
春,2,0.017695738
人,2,0.015769828
愁,2,0.014717731
風,2,0.013791157
雨,2,0.011722853
簾,2,0.010933191
雲,2,0.01083167
香,2,0.009939245
秋,2,0.0094482545
夢,2,0.008927661
影,2,0.0075799194
情,2,0.0069754915
天,2,0.006948366
心,2,0.0063223913
玉,2,0.006312851
東風,2,0.006209268
新,2,0.006202163
君,2,0.0060967007
淚,2,0.0055511612
恩,5,0.0007376044
枝頭,5,0.00037287117
極目,5,0.00037158048
蒼茫,5,0.00032953062
夜色,5,0.00032368832
瀟瀟,5,0.00030719847
此日,5,0.00028592872
遊子,5,0.0002725529
兒孫,5,0.00027108644
天際,5,0.00026556975
有意,5,0.00025908134
風力,5,0.0002442673
英雄,5,0.00022511008
辛苦,5,0.00022319857
雲霞,5,0.00021544327
努力,5,0.00021477246
長生,5,0.00020393441
弟妹,5,0.00019887087
金錢,5,0.00019648498
孤舟,5,0.00019514118
雁,4,0.0020979876
銀河,4,0.0006691574
德,4,0.00048564735
東籬,4,0.00042848013
夕照,4,0.00042638698
風流,4,0.00039948738
蕭條,4,0.00036449003
隱隱,4,0.00035985457
窗紗,4,0.00033696464
今夕,4,0.00032609675
颯颯,4,0.00029844887
滿目,4,0.00029314286
窗外,4,0.00028982354
漠漠,4,0.00028674462
畫樓,4,0.00028648632
主人,4,0.00027465966
雲山,4,0.00026939606
皎潔,4,0.00026902303
淸風,4,0.0002673052
華年,4,0.0002640192
夜,1,0.0079848
寒,1,0.007976965
難,1,0.007470582
生,1,0.005991745
天涯,1,0.0043136803
闌,1,0.004312516
相思,1,0.0037476274
書,1,0.003740308
感,1,0.0034968513
魚,1,0.0028703944
往事,1,0.0027449927
憔悴,1,0.0027397384
家,1,0.0026325604
客,1,0.0026290591
蛾眉,1,0.0025720997
身世,1,0.0025653825
滄桑,1,0.002414997
舊時,1,0.0023835928
古今,1,0.0023292783
林,1,0.0022201738
梅,0,0.0012051017
蓮,0,0.00087280414
池,0,0.0008289108
臨風,0,0.00081527996
琴,0,0.0007901094
玲瓏,0,0.0006488827
殷勤,0,0.0006269829
雞,0,0.0006088755
依舊,0,0.0005202515
斷腸,0,0.0004842299
郎,0,0.00046658484
故人,0,0.00036288594
雨後,0,0.00035696736
兄,0,0.0003436846
玉笛,0,0.0003354679
宴,0,0.00033332885
三月,0,0.00032715767
笙,0,0.00031880254
日月,0,0.0003155527
涼月,0,0.00031475382
兒女,3,0.00058634137
官,3,0.0005554951
秋色,3,0.00047290855
平安,3,0.00035850276
歲月,3,0.00035059167
西湖,3,0.0003249636
軍,3,0.00030839286
無際,3,0.00025381232
蒼蒼,3,0.00023359088
歸去,3,0.0002320039
一線,3,0.00023152209
江城,3,0.00023091215
余生,3,0.00021748658
轉眼,3,0.00020958547
縹緲,3,0.00020738824
關心,3,0.00020565899
黑白,3,0.00020016074
同盟,3,0.00019118478
風帆,3,0.00018348872
梅雨,3,0.00018322188
